document,topic,score
18783,2,0.12272151
8467,2,0.122157425
7076,2,0.12193524
2715,2,0.12140403
12502,2,0.121379696
8606,2,0.12132345
9002,2,0.12124371
438,2,0.120977506
5665,2,0.12082489
16704,2,0.12068516
4312,2,0.120497555
600,2,0.12008327
4983,2,0.11968175
2514,2,0.119666606
13689,2,0.119652696
6918,2,0.1191633
3279,2,0.11908942
12504,2,0.11906507
2492,2,0.11899415
4081,2,0.11880599
14178,2,0.11870766
11914,2,0.11861336
15498,2,0.11859392
16735,2,0.11813648
1433,2,0.117904365
10836,2,0.1178539
7520,2,0.11769561
2629,2,0.11756729
8293,2,0.11754504
11787,2,0.11752882
1084,2,0.11735722
6999,2,0.11720318
18376,2,0.116991304
7503,2,0.116214976
3788,2,0.11601075
1364,2,0.116010115
9581,2,0.116006486
9451,2,0.11596805
9844,2,0.11593504
12466,2,0.11588498
6152,2,0.11581766
13591,2,0.11561536
13880,2,0.11560796
12712,2,0.11529744
18736,2,0.11523927
5960,2,0.114654526
16954,2,0.11465068
2222,2,0.114204854
18606,2,0.11418286
7629,2,0.11408467
8295,2,0.113993324
2714,2,0.11352037
5262,2,0.11344906
5444,2,0.113287136
5796,2,0.11322111
5687,2,0.11321201
14637,2,0.113120355
15436,2,0.11306654
12572,2,0.112890966
6539,2,0.11193071
18301,2,0.111645855
7397,2,0.111616604
4874,2,0.11138855
13231,2,0.111140884
663,2,0.11106183
6656,2,0.111009225
4313,2,0.11082757
314,2,0.11073914
4664,2,0.11060628
4012,2,0.11044878
15668,2,0.110403694
17151,2,0.10951191
10150,2,0.109335184
7359,2,0.10931065
85,2,0.109254815
6521,2,0.1086924
6277,2,0.10866582
329,2,0.10822383
1880,2,0.108105816
11942,2,0.10809057
13422,2,0.10772423
5785,2,0.1076672
2688,2,0.107163586
2577,2,0.10707956
17056,2,0.10693832
10566,2,0.10614287
7369,2,0.10588184
7286,2,0.10554462
13925,2,0.1051603
5628,2,0.104728855
12599,2,0.104434796
14041,2,0.104367554
4557,2,0.10427558
6606,2,0.10398919
9295,2,0.10384507
2598,2,0.10357455
17150,2,0.10320817
8307,2,0.10272118
4916,2,0.10268823
17187,2,0.10260502
17323,2,0.101897575
15394,2,0.10084756
10456,2,0.100407526
11331,2,0.100195624
10704,2,0.100120805
15782,2,0.09979863
17924,2,0.09913606
14713,2,0.09726538
6789,2,0.09700931
3970,2,0.09685409
